 DISTANCE,     TIME,         TEMP,         PERCENT,      RATE,         SOLVENT REMAINING,
 cm,           sec,          deg C,        REMAINING,    gm/sqm/min,   gm/sqm,
          ,             ,             ,             ,             ,    SOLVENT 1,
 0.0000E+000,    0.0000E+000,    0.2000E+002,    0.7870E+002,    0.0000E+000,    0.1047E+002,
 0.2286E+001,    0.2250E-001,    0.2176E+002,    0.7842E+002,    0.4568E+003,    0.1030E+002,
 0.4572E+001,    0.4500E-001,    0.2297E+002,    0.7808E+002,    0.5428E+003,    0.1009E+002,
 0.6858E+001,    0.6750E-001,    0.2378E+002,    0.7769E+002,    0.6049E+003,    0.9865E+001,
 0.9144E+001,    0.9000E-001,    0.2432E+002,    0.7726E+002,    0.6480E+003,    0.9622E+001,
 0.1143E+002,    0.1125E+000,    0.2468E+002,    0.7678E+002,    0.6771E+003,    0.9369E+001,
 0.1372E+002,    0.1350E+000,    0.2492E+002,    0.7627E+002,    0.6964E+003,    0.9107E+001,
 0.1600E+002,    0.1575E+000,    0.2507E+002,    0.7573E+002,    0.7089E+003,    0.8842E+001,
 0.1829E+002,    0.1800E+000,    0.2517E+002,    0.7516E+002,    0.7168E+003,    0.8573E+001,
 0.2057E+002,    0.2025E+000,    0.2525E+002,    0.7456E+002,    0.7218E+003,    0.8302E+001,
 0.2286E+002,    0.2250E+000,    0.2530E+002,    0.7392E+002,    0.7248E+003,    0.8030E+001,
 0.2514E+002,    0.2475E+000,    0.2533E+002,    0.7325E+002,    0.7264E+003,    0.7758E+001,
 0.2743E+002,    0.2700E+000,    0.2536E+002,    0.7254E+002,    0.7272E+003,    0.7485E+001,
 0.2972E+002,    0.2925E+000,    0.2538E+002,    0.7180E+002,    0.7274E+003,    0.7213E+001,
 0.3200E+002,    0.3150E+000,    0.2541E+002,    0.7101E+002,    0.7272E+003,    0.6940E+001,
 0.3429E+002,    0.3375E+000,    0.2543E+002,    0.7018E+002,    0.7268E+003,    0.6667E+001,
 0.3657E+002,    0.3600E+000,    0.2545E+002,    0.6930E+002,    0.7260E+003,    0.6395E+001,
 0.3886E+002,    0.3825E+000,    0.2547E+002,    0.6837E+002,    0.7251E+003,    0.6123E+001,
 0.4115E+002,    0.4050E+000,    0.2549E+002,    0.6738E+002,    0.7240E+003,    0.5852E+001,
 0.4343E+002,    0.4275E+000,    0.2552E+002,    0.6633E+002,    0.7227E+003,    0.5581E+001,
 0.4572E+002,    0.4500E+000,    0.2555E+002,    0.6521E+002,    0.7211E+003,    0.5310E+001,
 0.4800E+002,    0.4725E+000,    0.2558E+002,    0.6402E+002,    0.7194E+003,    0.5041E+001,
 0.5029E+002,    0.4950E+000,    0.2562E+002,    0.6275E+002,    0.7173E+003,    0.4772E+001,
 0.5258E+002,    0.5175E+000,    0.2567E+002,    0.6139E+002,    0.7150E+003,    0.4503E+001,
 0.5486E+002,    0.5400E+000,    0.2572E+002,    0.5993E+002,    0.7122E+003,    0.4236E+001,
 0.5715E+002,    0.5625E+000,    0.2577E+002,    0.5836E+002,    0.7090E+003,    0.3971E+001,
 0.5943E+002,    0.5850E+000,    0.2584E+002,    0.5668E+002,    0.7052E+003,    0.3706E+001,
 0.6172E+002,    0.6075E+000,    0.2592E+002,    0.5486E+002,    0.7007E+003,    0.3443E+001,
 0.6400E+002,    0.6300E+000,    0.2601E+002,    0.5291E+002,    0.6953E+003,    0.3183E+001,
 0.6629E+002,    0.6525E+000,    0.2612E+002,    0.5079E+002,    0.6888E+003,    0.2924E+001,
 0.6858E+002,    0.6750E+000,    0.2624E+002,    0.4851E+002,    0.6809E+003,    0.2669E+001,
 0.7086E+002,    0.6975E+000,    0.2640E+002,    0.4604E+002,    0.6713E+003,    0.2417E+001,
 0.7315E+002,    0.7200E+000,    0.2659E+002,    0.4338E+002,    0.6594E+003,    0.2170E+001,
 0.7543E+002,    0.7425E+000,    0.2682E+002,    0.4050E+002,    0.6447E+003,    0.1928E+001,
 0.7772E+002,    0.7650E+000,    0.2710E+002,    0.3741E+002,    0.6263E+003,    0.1693E+001,
 0.8001E+002,    0.7875E+000,    0.2745E+002,    0.3412E+002,    0.6033E+003,    0.1467E+001,
 0.8229E+002,    0.8100E+000,    0.2788E+002,    0.3065E+002,    0.5744E+003,    0.1252E+001,
 0.8458E+002,    0.8325E+000,    0.2843E+002,    0.2704E+002,    0.5384E+003,    0.1050E+001,
 0.8686E+002,    0.8550E+000,    0.2910E+002,    0.2339E+002,    0.4940E+003,    0.8647E+000,
 0.8915E+002,    0.8775E+000,    0.2993E+002,    0.1980E+002,    0.4407E+003,    0.6994E+000,
 0.9144E+002,    0.9000E+000,    0.3093E+002,    0.1644E+002,    0.3793E+003,    0.5572E+000,
 0.9372E+002,    0.9225E+000,    0.3210E+002,    0.1345E+002,    0.3124E+003,    0.4401E+000,
 0.9601E+002,    0.9450E+000,    0.3341E+002,    0.1094E+002,    0.2451E+003,    0.3482E+000,
 0.9829E+002,    0.9675E+000,    0.3483E+002,    0.8979E+001,    0.1832E+003,    0.2794E+000,
 0.1006E+003,    0.9900E+000,    0.3627E+002,    0.7511E+001,    0.1317E+003,    0.2300E+000,
 0.1029E+003,    0.1012E+001,    0.3768E+002,    0.6449E+001,    0.9271E+002,    0.1953E+000,
 0.1052E+003,    0.1035E+001,    0.3900E+002,    0.5687E+001,    0.6523E+002,    0.1708E+000,
 0.1074E+003,    0.1057E+001,    0.4021E+002,    0.5133E+001,    0.4675E+002,    0.1533E+000,
 0.1097E+003,    0.1080E+001,    0.4129E+002,    0.4721E+001,    0.3445E+002,    0.1404E+000,
 0.1120E+003,    0.1102E+001,    0.4224E+002,    0.4406E+001,    0.2613E+002,    0.1306E+000,
 0.1143E+003,    0.1125E+001,    0.4308E+002,    0.4160E+001,    0.2030E+002,    0.1230E+000,
 0.1166E+003,    0.1147E+001,    0.4380E+002,    0.3964E+001,    0.1608E+002,    0.1169E+000,
 0.1189E+003,    0.1170E+001,    0.4443E+002,    0.3806E+001,    0.1291E+002,    0.1121E+000,
 0.1212E+003,    0.1192E+001,    0.4497E+002,    0.3678E+001,    0.1049E+002,    0.1082E+000,
 0.1234E+003,    0.1215E+001,    0.4544E+002,    0.3572E+001,    0.8591E+001,    0.1049E+000,
 0.1257E+003,    0.1237E+001,    0.4584E+002,    0.3485E+001,    0.7085E+001,    0.1023E+000,
 0.1280E+003,    0.1260E+001,    0.4619E+002,    0.3412E+001,    0.5877E+001,    0.1001E+000,
 0.1303E+003,    0.1282E+001,    0.4648E+002,    0.3352E+001,    0.4897E+001,    0.9824E-001,
 0.1326E+003,    0.1305E+001,    0.4674E+002,    0.3301E+001,    0.4096E+001,    0.9671E-001,
 0.1349E+003,    0.1327E+001,    0.4695E+002,    0.3258E+001,    0.3438E+001,    0.9542E-001,
 0.1372E+003,    0.1350E+001,    0.4714E+002,    0.3223E+001,    0.2893E+001,    0.9433E-001,
 0.1394E+003,    0.1372E+001,    0.4730E+002,    0.3192E+001,    0.2440E+001,    0.9342E-001,
 0.1417E+003,    0.1395E+001,    0.4744E+002,    0.3167E+001,    0.2062E+001,    0.9264E-001,
 0.1440E+003,    0.1417E+001,    0.4755E+002,    0.3145E+001,    0.1746E+001,    0.9199E-001,
 0.1463E+003,    0.1440E+001,    0.4765E+002,    0.3127E+001,    0.1480E+001,    0.9143E-001,
 0.1486E+003,    0.1462E+001,    0.4774E+002,    0.3111E+001,    0.1256E+001,    0.9096E-001,
 0.1509E+003,    0.1485E+001,    0.4781E+002,    0.3098E+001,    0.1067E+001,    0.9056E-001,
 0.1532E+003,    0.1507E+001,    0.4788E+002,    0.3087E+001,    0.9071E+000,    0.9022E-001,
 0.1554E+003,    0.1530E+001,    0.4793E+002,    0.3077E+001,    0.7718E+000,    0.8993E-001,
 0.1577E+003,    0.1552E+001,    0.4798E+002,    0.3069E+001,    0.6572E+000,    0.8969E-001,
 0.1600E+003,    0.1575E+001,    0.4801E+002,    0.3062E+001,    0.5598E+000,    0.8948E-001,
 0.1623E+003,    0.1597E+001,    0.4805E+002,    0.3056E+001,    0.4771E+000,    0.8930E-001,
 0.1646E+003,    0.1620E+001,    0.4808E+002,    0.3051E+001,    0.4068E+000,    0.8915E-001,
 0.1669E+003,    0.1642E+001,    0.4810E+002,    0.3046E+001,    0.3469E+000,    0.8902E-001,
 0.1692E+003,    0.1665E+001,    0.4812E+002,    0.3043E+001,    0.2959E+000,    0.8890E-001,
 0.1714E+003,    0.1687E+001,    0.4814E+002,    0.3040E+001,    0.2525E+000,    0.8881E-001,
 0.1737E+003,    0.1710E+001,    0.4816E+002,    0.3037E+001,    0.2155E+000,    0.8873E-001,
 0.1760E+003,    0.1732E+001,    0.4817E+002,    0.3035E+001,    0.1840E+000,    0.8866E-001,
 0.1783E+003,    0.1755E+001,    0.4818E+002,    0.3033E+001,    0.1571E+000,    0.8860E-001,
 0.1806E+003,    0.1777E+001,    0.4819E+002,    0.3031E+001,    0.1341E+000,    0.8855E-001,
 0.1829E+003,    0.1800E+001,    0.4820E+002,    0.3030E+001,    0.1145E+000,    0.8851E-001,
 0.1852E+003,    0.1822E+001,    0.4820E+002,    0.3028E+001,    0.9781E-001,    0.8847E-001,
 0.1874E+003,    0.1845E+001,    0.4821E+002,    0.3027E+001,    0.8354E-001,    0.8844E-001,
 0.1897E+003,    0.1867E+001,    0.4822E+002,    0.3026E+001,    0.7136E-001,    0.8841E-001,
 0.1920E+003,    0.1890E+001,    0.4822E+002,    0.3026E+001,    0.6096E-001,    0.8839E-001,
 0.1943E+003,    0.1912E+001,    0.4822E+002,    0.3025E+001,    0.5207E-001,    0.8837E-001,
 0.1966E+003,    0.1935E+001,    0.4823E+002,    0.3025E+001,    0.4448E-001,    0.8835E-001,
 0.1989E+003,    0.1957E+001,    0.4823E+002,    0.3024E+001,    0.3800E-001,    0.8834E-001,
 0.2012E+003,    0.1980E+001,    0.4823E+002,    0.3024E+001,    0.3247E-001,    0.8833E-001,
 0.2034E+003,    0.2002E+001,    0.4823E+002,    0.3023E+001,    0.2774E-001,    0.8832E-001,
 0.2057E+003,    0.2025E+001,    0.4824E+002,    0.3023E+001,    0.2370E-001,    0.8831E-001,
 0.2080E+003,    0.2047E+001,    0.4824E+002,    0.3023E+001,    0.2025E-001,    0.8830E-001,
 0.2103E+003,    0.2070E+001,    0.4824E+002,    0.3023E+001,    0.1730E-001,    0.8829E-001,
 0.2126E+003,    0.2092E+001,    0.4824E+002,    0.3022E+001,    0.1478E-001,    0.8829E-001,
 0.2149E+003,    0.2115E+001,    0.4824E+002,    0.3022E+001,    0.1263E-001,    0.8828E-001,
 0.2172E+003,    0.2137E+001,    0.4824E+002,    0.3022E+001,    0.1079E-001,    0.8828E-001,
 0.2194E+003,    0.2160E+001,    0.4824E+002,    0.3022E+001,    0.9222E-002,    0.8828E-001,
 0.2217E+003,    0.2182E+001,    0.4824E+002,    0.3022E+001,    0.7880E-002,    0.8827E-001,
 0.2240E+003,    0.2205E+001,    0.4824E+002,    0.3022E+001,    0.6733E-002,    0.8827E-001,
 0.2263E+003,    0.2227E+001,    0.4824E+002,    0.3022E+001,    0.5753E-002,    0.8827E-001,
 0.2286E+003,    0.2250E+001,    0.4824E+002,    0.3022E+001,    0.4916E-002,    0.8827E-001,
